mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
random,episodic_semantic,avoid_walls,False,96,48,48,1,216.1,15.647236177676877
episodic,episodic,avoid_walls,False,96,96,0,1,205.92,11.138294303886925
semantic,semantic,random,False,96,0,96,1,193.42000000000002,16.379792428477227
semantic,semantic,avoid_walls,include_walls,96,0,96,1,188.72000000000003,17.376236646638993
generalize,episodic_semantic,random,False,96,48,48,1,184.9,12.242385388477198
generalize,episodic_semantic,random,include_walls,96,48,48,1,181.74,12.223354695009052
random,episodic_semantic,avoid_walls,False,96,96,0,1,168.84,16.900248518882798
random,episodic_semantic,avoid_walls,include_walls,96,48,48,1,166.78000000000003,19.596673187048864
random,episodic_semantic,avoid_walls,False,96,0,96,1,161.64,13.954296829292398
semantic,semantic,random,include_walls,96,0,96,1,158.98000000000002,20.84364651398598
generalize,random,avoid_walls,False,96,48,48,1,141.54000000000002,12.1771260977293
generalize,random,avoid_walls,include_walls,96,48,48,1,138.78000000000003,12.188256643179123
random,episodic_semantic,avoid_walls,include_walls,96,0,96,1,137.07999999999998,13.807881807141897
random,episodic_semantic,random,False,96,48,48,1,128.71999999999997,22.40173207589092
random,random,avoid_walls,False,96,48,48,1,126.72,15.593511471121568
episodic,episodic,random,False,96,96,0,1,126.14000000000001,9.134024304762937
random,episodic_semantic,random,False,96,0,96,1,117.32000000000001,22.301695002846756
random,episodic_semantic,random,include_walls,96,48,48,1,113.97999999999999,17.268630518949667
generalize,random,random,False,96,48,48,1,105.32000000000001,9.962610099768034
generalize,random,random,include_walls,96,48,48,1,104.1,10.05206446457642
random,episodic_semantic,random,False,96,96,0,1,101.03999999999999,10.63232806115387
random,episodic_semantic,random,include_walls,96,0,96,1,99.11999999999999,20.197366164923583
random,random,random,False,96,48,48,1,92.47999999999999,5.462746561941162
random,random,avoid_walls,include_walls,96,48,48,1,91.46,3.6919371608953475
random,random,avoid_walls,False,96,96,0,1,85.33999999999999,5.19676822650385
random,random,avoid_walls,False,96,0,96,1,83.16,8.089153231333924
random,random,random,include_walls,96,48,48,1,79.12,7.30900814064398
random,random,avoid_walls,include_walls,96,0,96,1,63.4,11.850569606563221
random,random,random,False,96,0,96,1,60.04,3.7510531854400555
random,random,random,False,96,96,0,1,54.519999999999996,4.593212383506777
random,random,random,include_walls,96,0,96,1,50.06,3.8624344654634597
semantic,semantic,avoid_walls,False,100,0,100,1,296.18,15.878841267548458
generalize,episodic_semantic,avoid_walls,False,100,50,50,1,245.51999999999998,18.24778342703573
semantic,semantic,avoid_walls,include_walls,100,0,100,1,244.3,13.093357094343675
generalize,episodic_semantic,avoid_walls,include_walls,100,50,50,1,235.78000000000003,18.657266680840472
random,episodic_semantic,avoid_walls,False,100,50,50,1,212.6,14.189432687743375
episodic,episodic,avoid_walls,False,100,100,0,1,211.46000000000004,5.678239163684459
semantic,semantic,random,False,100,0,100,1,197.74,15.113914119115531
generalize,episodic_semantic,random,False,100,50,50,1,185.84,22.007780442379925
generalize,episodic_semantic,random,include_walls,100,50,50,1,185.26,22.26787821055252
random,episodic_semantic,avoid_walls,False,100,100,0,1,180.47999999999996,17.864534698670436
semantic,semantic,random,include_walls,100,0,100,1,179.16,16.943506130668467
random,episodic_semantic,avoid_walls,False,100,0,100,1,167.01999999999998,17.517351397971105
random,episodic_semantic,avoid_walls,include_walls,100,50,50,1,157.79999999999998,14.066698262207805
generalize,random,avoid_walls,False,100,50,50,1,143.8,10.074720839804938
generalize,random,avoid_walls,include_walls,100,50,50,1,139.98000000000002,12.991905172067723
episodic,episodic,random,False,100,100,0,1,128.34,9.289693213448984
random,episodic_semantic,random,False,100,50,50,1,125.33999999999999,20.299123133771072
random,episodic_semantic,avoid_walls,include_walls,100,0,100,1,121.85999999999999,14.353062391002137
random,random,avoid_walls,False,100,50,50,1,121.51999999999998,8.150435571182685
random,episodic_semantic,random,False,100,0,100,1,116.66000000000001,22.314264496057227
random,episodic_semantic,random,include_walls,100,0,100,1,106.35999999999999,21.39239117069431
generalize,random,random,False,100,50,50,1,105.58,8.798727180677897
generalize,random,random,include_walls,100,50,50,1,104.82000000000001,8.94055926662309
random,episodic_semantic,random,False,100,100,0,1,101.96,11.050357460281548
random,episodic_semantic,random,include_walls,100,50,50,1,100.38000000000001,9.420063694052178
random,random,avoid_walls,include_walls,100,50,50,1,96.96,15.449867313346093
random,random,random,False,100,50,50,1,90.14000000000001,6.657807446900219
random,random,avoid_walls,False,100,100,0,1,83.64000000000001,16.45972053225692
random,random,avoid_walls,False,100,0,100,1,80.97999999999999,11.770029736580959
random,random,avoid_walls,include_walls,100,0,100,1,67.74,10.617080578012015
random,random,random,include_walls,100,50,50,1,66.32000000000001,2.6041505332833594
random,random,random,False,100,0,100,1,59.75999999999999,3.8082016753318095
random,random,random,False,100,100,0,1,55.2,4.569026154444731
random,random,random,include_walls,100,0,100,1,54.68000000000001,4.899142782160978
